Station ID,Station Name,Description,County,Route,From Milepoint,To Milepoint,Functional Class,Latitude,Longitude,Year,Stat Type,AADT,AAWDT,Single-Unit Truck AADT,Combo-Unit Truck AADT,K-Factor,D-Factor,Station Type
#351204000000,351204,WILLIAMS ST from STARK ST to VIRGINIA ST,Seneca,WILLIAMS ST,0.21,0.48,Urban:Major Collector,42.905732,-76.865452,2024,Estimated,1051,,,,0.09,0.53,Short Term
#351207000000,351207,CAYUGA ST from AUBURN RD to CR101 GRAVEL RD,Seneca,CAYUGA ST,0,0.43,Urban:Major Collector,42.92214,-76.79223,2024,Actual,1595,,86,4,0.11,0.54,Short Term
#351208000000,351208,WATER ST from FALL ST to BRIDGE ST,Seneca,WATER ST,0,0.11,Urban:Major Collector,42.91014,-76.80012,2024,Actual,692,,,,0.1,0.54,Short Term
#351209000000,351209,CR119 W RIVER RD from NY96A (N) to MARSHALL RD,Seneca,W RIVER RD,0.57,0.8,Urban:Minor Collector,42.86975,-76.93463,2024,Actual,3025,,137,7,0.12,0.53,Short Term
#351210000000,351210,GARDEN ST EXT from STEVENSON ST to NY 89,Seneca,GARDEN ST EXT,0,1.45,Urban:Minor Collector,42.901354,-76.76723,2024,Actual,1121,,45,2,0.12,0.52,Short Term
#351211000000,351211,LOCUST ST from WASHINGTON ST to DEAD END,Seneca,LOCUST ST,0,0.07,Urban:Major Collector,42.901512,-76.863305,2024,Estimated,16,,,,0.16,0.67,Short Term
#352000000000,352000,CR117 RIVER RD from WATERLOO TN LN to KINGDOM RD,Seneca,RIVER RD,0.94,1.95,Rural:Minor Arterial,42.90098,-76.83819,2024,Estimated,4415,,,,0.09,0.53,Short Term
#352001000000,352001,CR116 E BAYARD ST from E BAYARD ST to NY 89,Seneca,E BAYARD ST,0,1.27,Urban:Major Collector,42.91416,-76.76931,2024,Estimated,3345,,,,0.09,0.54,Short Term
#352002000000,352002,CR116 LOWER LAKE RD from NY 89 to GARDEN ST EXT,Seneca,LOWER LAKE RD,1.27,2.47,Urban:Local,42.898966,-76.750434,2024,Actual,440,,,,0.13,0.61,Short Term
#352003000000,352003,WEST BAYARD ST from CR117 RIVER RD to OVID ST,Seneca,WEST BAYARD ST,0,0.99,Urban:Minor Arterial,42.90774,-76.80734,2024,Estimated,4691,,,,0.09,0.55,Short Term
