Reporting Period,Project Number,Legacy Project Number,CESIR Number,Street Address,City,County,State,ZIP Code,Incorporated Municipality,Municipality Type,Census Tract,NYS Disadvantaged Community Status,Climate and Economic Justice Screening Tool Status,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Minority or Women Owned Business Enterprise (MWBE),Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,Total NYSERDA Incentive,Affordable Solar Residential Adder,Affordable Multifamily Housing Incentive,Community Adder,Inclusive Community Solar Adder,Expanded Solar For All Adder,Brownfield/Landfill Adder,Canopy Adder,Floating Solar Adder,Prevailing Wage Adder,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Community Distributed Generation,Green Jobs Green New York Participant,Latitude,Longitude,Georeference
1/31/2026,0000666750,,,,Webster,Monroe,NY,14580,Webster,Town,36055011302,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,11/3/2023,11/22/2023,Complete,3rd ROC Solar LLC,No,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10+ 405,18,"$30,640.00 ","$1,458.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.29,"7,523.00",,No,No,43.2491737,-77.4555664,POINT (-77.4555664 43.2491737)
1/31/2026,0000114938,,,,Rochester,Monroe,NY,14610,Rochester,City,36055007700,Inside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,3/27/2018,7/5/2018,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SolarEdge Technologies Ltd.,SE3800H-US,1,Hanwha Q CELLS,Q.PEAK G4.1 305,15,"$14,114.00 ","$1,601.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,4.57,"4,982.00",,No,No,43.1507219,-77.5532117,POINT (-77.5532117 43.1507219)
1/31/2026,0000011991,4615-28967,,,Hilton,Monroe,NY,14468,Parma,Town,36055014802,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,8/14/2012,12/13/2012,Complete,"Simply Solar Systems, LLC",No,Enphase Energy,M215-60-2LL-S2X,10,Canadian Solar,CS6P-235PX,10,"$14,234.40 ","$3,525.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,2.35,"2,863.00",,No,No,43.2392389,-77.8043179,POINT (-77.8043179 43.2392389)
1/31/2026,0000531811,,,,Pittsford,Monroe,NY,14534,Pittsford,Town,36055012301,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,12/3/2022,1/13/2023,Complete,3rd ROC Solar LLC,No,Altenergy Power System Inc.,QS1 [240V],7,Silfab Solar Inc.,SIL-370HC,22,"$30,200.00 ","$3,256.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,8.14,"9,361.00",,No,No,43.0890552,-77.5289595,POINT (-77.5289595 43.0890552)
1/31/2026,0000056221,5293-69898,,,Rochester,Monroe,NY,14624,Ogden,Town,36055014905,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,7/28/2015,11/10/2015,Complete,Direct Energy Solar (formerly Astrum),No,Enphase Energy,M215-60-2LL-S2X-IG,28,Kyocera Solar,KD260GX-LFM,28,"$27,620.00 ","$4,368.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.28,"8,534.00",No,No,No,43.1435351,-77.7686635,POINT (-77.7686635 43.1435351)
1/31/2026,0000610317,,,,Pittsford,Monroe,NY,14534,Pittsford,Town,36055012306,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,6/21/2023,8/3/2023,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,Enphase Energy Inc.,IQ8PLUS-72-2-US [240V],50,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10+ 405,50,"$65,991.00 ","$6,075.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,20.25,"23,274.00",,No,No,43.0568219,-77.5521612,POINT (-77.5521612 43.0568219)
1/31/2026,0000523512,,,,Brockport,Monroe,NY,14420,Sweden,Town,36055015400,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,11/2/2022,1/30/2023,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SMA America,SB7.7-1TP-US-41 [240V],3,Silfab Solar Inc.,SIL-370HC,76,"$60,478.00 ","$10,000.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,28.12,"29,126.00",,No,No,43.1765843,-77.9255865,POINT (-77.9255865 43.1765843)
1/31/2026,0000160396,,,,Honeoye Falls,Monroe,NY,14472,Mendon,Town,36055012401,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,11/2/2018,12/20/2018,Complete,Kasselman Solar LLC,No,Enphase Energy Inc.,IQ7-60-x-US [240V],26,LG Electronics Inc.,LG320N1K-A5,26,"$27,540.00 ","$2,912.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,8.32,"9,472.00",,No,No,42.9543899,-77.5953329,POINT (-77.5953329 42.9543899)
1/31/2026,0000698978,,,,Webster,Monroe,NY,14580,Penfield,Town,36055011501,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,1/5/2024,1/30/2024,Complete,3rd ROC Solar LLC,No,SolarEdge Technologies Ltd.,SE11400H-US [240V],1,Silfab Solar Inc.,SIL-410HC+,32,"$47,888.00 ","$2,624.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,13.12,"12,308.00",,No,No,43.1873625,-77.4509341,POINT (-77.4509341 43.1873625)
1/31/2026,0000234704,,,,Rochester,Monroe,NY,14607,Rochester,City,36055001000,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,2/8/2020,3/30/2020,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SMA America,SB5.0-1SP-US-41 [240V],1,Hanwha Q CELLS,Q.PEAK DUO-G5 320,18,"$22,271.00 ","$2,016.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,5.76,"6,117.00",,No,No,43.1555592,-77.5824927,POINT (-77.5824927 43.1555592)
