Reporting Period,Project Number,Legacy Project Number,CESIR Number,Street Address,City,County,State,ZIP Code,Incorporated Municipality,Municipality Type,Census Tract,NYS Disadvantaged Community Status,Climate and Economic Justice Screening Tool Status,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Minority or Women Owned Business Enterprise (MWBE),Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,Total NYSERDA Incentive,Affordable Solar Residential Adder,Affordable Multifamily Housing Incentive,Community Adder,Inclusive Community Solar Adder,Expanded Solar For All Adder,Brownfield/Landfill Adder,Canopy Adder,Floating Solar Adder,Prevailing Wage Adder,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Community Distributed Generation,Green Jobs Green New York Participant,Latitude,Longitude,Georeference
1/31/2026,0000104059,,,,Rochester,Monroe,NY,14616,Greece,Town,36055013603,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,12/23/2017,4/11/2018,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SolarEdge Technologies Ltd.,SE6000 (240V),1,Hanwha Q CELLS,Q.PEAK G4.1 305,24,"$21,609.00 ","$2,562.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.32,"8,877.00",,No,No,43.2618181,-77.6746408,POINT (-77.6746408 43.2618181)
1/31/2026,0000639020,,,,Pittsford,Monroe,NY,14534,Pittsford,Town,36055012306,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,9/14/2023,10/30/2023,Complete,Solar Liberty,No,SunPower,SPR-M410-H-AC [240V],16,SunPower,SPR-M410-BLK-H-AC,16,"$24,479.95 ","$1,312.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.56,"8,010.00",,No,No,43.0568219,-77.5521612,POINT (-77.5521612 43.0568219)
1/31/2026,0000211716,,,,Pittsford,Monroe,NY,14534,Perinton,Town,36055011706,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,9/25/2019,11/5/2019,Complete,Renewable Rochester LLC,No,SunPower,SPR-X21-350-BLK-E-AC [240V],29,Sunpower,SPR-X21-350-BLK-E-AC,29,"$32,800.00 ","$3,552.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,10.15,"11,430.00",,No,No,43.0618958,-77.4494533,POINT (-77.4494533 43.0618958)
1/31/2026,0000222260,,,,Rochester,Monroe,NY,14617,Irondequoit,Town,36055010100,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,11/20/2019,1/10/2020,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SolarEdge Technologies Ltd.,SE6000H-US [240V],1,Hanwha Q CELLS,Q.PEAK DUO-G5 320,20,"$26,849.00 ","$2,240.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.4,"5,861.00",,No,No,43.247385,-77.5925916,POINT (-77.5925916 43.247385)
1/31/2026,0000186944,,,,Honeoye Falls,Monroe,NY,14472,Mendon,Town,36055012402,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,7/25/2019,10/8/2019,Complete,Finger Lakes Power Systems LLC DBA QwikSolar,No,Enphase Energy Inc.,IQ7-60-x-US [240V],30,CertainTeed,CT310M11-02,30,"$25,147.00 ","$3,255.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,9.3,"10,919.00",,No,No,42.9911314,-77.5325184,POINT (-77.5325184 42.9911314)
1/31/2026,0000378348,,,,Rochester,Monroe,NY,14620,Rochester,City,36055003805,Inside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,1/7/2022,3/21/2022,Complete,Solar Liberty,No,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+/AC 340 [240V],35,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+/AC 340,35,"$27,965.00 ","$5,950.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,11.9,"11,108.00",,No,No,43.1202701,-77.6271462,POINT (-77.6271462 43.1202701)
1/31/2026,0000022066,4578-22650,,,Hemlock,Livingston,NY,14466,Livonia,Town,36051030700,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,,5/4/2011,8/9/2011,Complete,"O'Connell Electric Co., Inc.",No,Enphase Energy,M190-72-240-Sxx (-NA),28,SolarWorld,SW245 mono,28,"$41,373.13 ","$12,005.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.86,"8,044.00",,No,No,42.8090331,-77.653613,POINT (-77.653613 42.8090331)
1/31/2026,0000944821,,,,Pittsford,Monroe,NY,14534,Henrietta,Town,36055013101,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,7/29/2025,8/5/2025,Complete,3rd ROC Solar LLC,No,SolarEdge Technologies Ltd.,SE7600H-US {240V},1,"Jinko Solar Co., Ltd",JKM430N-54HL4R-B,18,"$26,080.00 ","$1,161.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.74,"8,523.00",,No,Yes,43.0845044,-77.5831821,POINT (-77.5831821 43.0845044)
1/31/2026,0000293159,,,,Churchville,Monroe,NY,14428,Chili,Town,36055014601,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,2/25/2021,4/12/2021,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SMA America,SB7.7-1TP-US-41 [240V],2,Hanwha Q CELLS,Q.PEAK DUO-G5 330,40,"$36,646.00 ","$4,620.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,13.2,"15,412.00",,No,No,43.0727637,-77.8076578,POINT (-77.8076578 43.0727637)
1/31/2026,0000296139,,,,Hilton,Monroe,NY,14468,Clarkson,Town,36055015200,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,4/8/2021,4/23/2021,Complete,"Buffalo Solar Solutions, Inc.",No,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Silfab Solar Inc.,SIL-310NL,32,"$29,839.00 ","$3,472.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,9.92,"8,716.00",,No,No,43.2450596,-77.9324553,POINT (-77.9324553 43.2450596)
1/31/2026,0000230968,,,,Hilton,Monroe,NY,14468,Greece,Town,36055013503,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,1/15/2020,2/25/2020,Complete,Renewable Rochester LLC,No,Altenergy Power System Inc.,QS1 [240V],14,Hanwha Q CELLS,Q.PEAK DUO L-G5.2 395,40,"$40,880.00 ","$5,530.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,15.8,"17,762.00",,No,No,43.2933785,-77.7293844,POINT (-77.7293844 43.2933785)
1/31/2026,0000053778,4124-049,,,Rush,Monroe,NY,14543,Rush,Town,36055013300,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 1050,National Grid,,6/5/2009,11/5/2009,Complete,"O'Connell Electric Co., Inc.",No,SunPower,SPR-5000m (240V),1,SunPower,SPR-210-BLK,20,"$32,452.69 ","$12,400.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,4.2,"4,613.00",,No,No,42.9713291,-77.6731429,POINT (-77.6731429 42.9713291)
1/31/2026,0000154630,,,,Honeoye Falls,Monroe,NY,14472,Mendon,Town,36055012402,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,9/21/2018,1/8/2019,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SolarEdge Technologies Ltd.,SE10000H-US [240V],1,Hanwha Q Cells,Q.Peak Duo-G5 310,38,"$34,813.00 ","$4,123.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,11.78,"13,135.00",,No,No,42.9911314,-77.5325184,POINT (-77.5325184 42.9911314)
1/31/2026,0000459819,,,,Hamlin,Monroe,NY,14464,Hamlin,Town,36055015101,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,4/30/2022,5/20/2022,Complete,3rd ROC Solar LLC,No,Altenergy Power System Inc.,QS1 [240V],8,Hanwha Q CELLS,Q.PEAK DUO L-G7.2 405,30,"$34,992.00 ","$6,075.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,12.15,"12,934.00",,No,No,43.3157886,-77.8755129,POINT (-77.8755129 43.3157886)
1/31/2026,0000215323,,,,Rochester,Monroe,NY,14613,Rochester,City,36055002000,Inside a NYS DAC,Inside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,10/30/2019,1/24/2020,Complete,Solar Liberty,No,SunPower,SPR-X22-360-C-AC [240V],22,Sunpower,SPR-X22-360-C-AC,22,"$29,462.40 ","$2,772.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.92,"8,723.00",,No,No,43.1904633,-77.6351611,POINT (-77.6351611 43.1904633)
1/31/2026,0000194108,,,,Rochester,Monroe,NY,14620,Rochester,City,36055003500,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,7/4/2019,8/7/2019,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SolarEdge Technologies Ltd.,SE3000H-US [240V],1,Hanwha Q CELLS,Q.PEAK DUO-G5 325,11,"$17,183.00 ","$1,251.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,3.58,"3,704.00",,No,No,43.1336109,-77.6028297,POINT (-77.6028297 43.1336109)
1/31/2026,0000071027,,,,Avon,Livingston,NY,14414,Lima,Town,36051030600,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,10/26/2016,7/31/2017,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SMA Solar Technology,SB7.0-1SP-US-40 (240V),2,LG Electronics,LG315N1C-G4,48,"$47,140.00 ","$6,048.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,15.12,"15,973.00",,No,Yes,42.8958887,-77.6086725,POINT (-77.6086725 42.8958887)
1/31/2026,0000057228,4555-73437-GJ,,,Rochester,Monroe,NY,14620,Rochester,City,36055003500,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,9/18/2015,12/17/2015,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SMA America,SB7000TL-US-22-240V (240V),1,Kyocera Solar,KU265-6MCA,28,"$23,704.00 ","$4,452.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.42,"8,858.00",No,No,Yes,43.1336109,-77.6028297,POINT (-77.6028297 43.1336109)
1/31/2026,0000042052,5409-87359,,,Hilton,Monroe,NY,14468,Parma,Town,36055014803,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,1/14/2016,7/25/2016,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SMA America,SB6000TL-US-22 (240V) (240V),1,Kyocera Solar,KU265-6MCA,24,"$20,184.00 ","$3,180.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.36,"7,683.00",No,No,No,43.3181032,-77.7850479,POINT (-77.7850479 43.3181032)
1/31/2026,0000015734,5293-42854,,,Rochester,Monroe,NY,14606,Gates,Town,36055014202,Inside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,6/10/2014,5/1/2015,Complete,Direct Energy Solar (formerly Astrum),No,Enphase Energy,M215-60-2LL-S2X,24,Canadian Solar,CS6P-250M-EA,24,"$24,000.00 ","$6,000.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6,"7,285.00",No,No,No,43.1471742,-77.7371012,POINT (-77.7371012 43.1471742)
1/31/2026,0001005828,,,,Penfield,Monroe,NY,14526,Penfield,Town,36055011504,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,11/4/2025,12/2/2025,Complete,3rd ROC Solar LLC,No,SolarEdge Technologies Ltd.,SE7600H-US {240V},1,Silfab Solar Inc.,SIL-440QD,21,"$32,525.00 ","$1,386.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,9.24,"10,110.00",,No,No,43.1637221,-77.457011,POINT (-77.457011 43.1637221)
1/31/2026,0000083116,,,,Nunda,Livingston,NY,14517,Nunda,Town,36051031200,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,4/21/2017,5/8/2017,Complete,"Renovus Energy, Inc",No,SolarEdge Technologies,SE 7600A-US (240V),1,Hanwha Q CELLS,Q.PLUS L-G4.2 330,24,"$24,687.00 ","$3,168.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.92,"9,695.00",,No,No,42.5628093,-77.9425032,POINT (-77.9425032 42.5628093)
1/31/2026,0000981194,,,,Rochester,Monroe,NY,14616,Greece,Town,36055013601,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,10/1/2025,12/5/2025,Complete,NYS Essential Power,No,"Enphase Energy, Inc.",IQ8MC-72-2-US {240V},17,SEG Solar Inc.,SEG-430-BTD-BG,17,"$25,123.00 ","$1,097.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.31,"7,303.00",,No,No,43.2420711,-77.6529987,POINT (-77.6529987 43.2420711)
1/31/2026,0000039471,5098-78354,,,Henrietta,Monroe,NY,14467,Henrietta,Town,36055013204,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Lease,10/20/2015,3/1/2016,Complete,NRG Residential Solar Solutions,No,Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),26,LG Electronics Solar Cell Division,LG280S1C-B3,26,"$21,723.00 ","$3,640.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.28,"7,889.00",No,No,No,43.0396701,-77.6267326,POINT (-77.6267326 43.0396701)
1/31/2026,0000473367,,,,Rochester,Monroe,NY,14619,Rochester,City,36055006300,Inside a NYS DAC,Inside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,6/4/2022,9/29/2022,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SMA America,SB3.8-1TP-US-41 [240V],1,Silfab Solar Inc.,SIL-370HC,13,"$28,415.00 ","$2,405.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,4.81,"4,643.00",,No,No,43.1445622,-77.6421952,POINT (-77.6421952 43.1445622)
1/31/2026,0000377726,,,,Geneseo,Livingston,NY,14454,Geneseo,Town,36051030201,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,1/6/2022,2/23/2022,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SMA America,SB5.0-1TP-US-41 [240V],2,Silfab Solar Inc.,SIL-370HC,36,"$31,570.00 ","$6,660.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,13.32,"13,617.00",,No,No,42.8633322,-77.8660672,POINT (-77.8660672 42.8633322)
1/31/2026,0000646153,,,,Fairport,Monroe,NY,14450,Perinton,Town,36055011703,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,9/14/2023,11/6/2023,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10+ 405,20,"$38,654.00 ","$1,620.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,8.1,"9,181.00",,No,No,43.1028109,-77.4008057,POINT (-77.4008057 43.1028109)
1/31/2026,0000074934,,,,Piffard,Livingston,NY,14533,York,Town,36051030201,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,11/10/2016,3/10/2017,Complete,Apex Energy Tek LLC,No,SolarEdge Technologies,SE 7600A-US (240V),1,Stion,STL-150A,48,"$27,877.20 ","$2,880.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.2,"8,813.00",,No,No,42.8633322,-77.8660672,POINT (-77.8660672 42.8633322)
1/31/2026,0000942364,,,,Mount Morris,Livingston,NY,14510,Mount Morris,Town,36051030900,Inside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,7/2/2025,,Pipeline,,No,Enphase Energy Inc.,IQ8MC-72-M-US [240V],28,"Jinko Solar Co., Ltd",JKM425N-54HL4-B,28,"$45,003.00 ","$1,785.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,11.9,"12,517.00",,No,No,42.7236954,-77.8752072,POINT (-77.8752072 42.7236954)
1/31/2026,0000672990,,,,Rochester,Monroe,NY,14609,Irondequoit,Town,36055011000,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,11/15/2023,3/26/2024,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SMA America,SB5.0-1TP-US-41 [240V],0,Silfab Solar Inc.,SIL-370HC,6,"$5,345.00 ",$444.00 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,2.22,"2,629.00",,No,No,43.1885104,-77.535297,POINT (-77.535297 43.1885104)
1/31/2026,0000895123,,,,Honeoye Falls,Livingston,NY,14472,Avon,Town,36051030202,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,3/15/2025,1/6/2026,Complete,"Fusion Energy Services, LLC",No,"Tigo Energy, Inc",TSI-7.6K-US {240V},1,"CSI Solar Co., Ltd.",CS6.1-54TM-455H,20,"$24,565.00 ","$3,520.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,9.1,"9,652.00",,No,No,42.8013055,-77.8552975,POINT (-77.8552975 42.8013055)
1/31/2026,0000042491,5293-85855,,,Rochester,Monroe,NY,14612,Greece,Town,36055013603,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,12/29/2015,4/19/2016,Complete,Direct Energy Solar (formerly Astrum),No,Enphase Energy,M215-60-2LL-S2X,31,Kyocera Solar,KD265GX-LFB2,31,"$28,895.50 ","$4,108.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,8.22,"8,893.00",No,No,Yes,43.2618181,-77.6746408,POINT (-77.6746408 43.2618181)
1/31/2026,0000064530,4635-99172,,,Rochester,Monroe,NY,14620,Brighton,Town,36055012800,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,5/27/2016,8/4/2016,Complete,Renewable Rochester LLC,No,SunPower,SPR-X22-360-C-AC,20,SunPower,SPR-X22-360-C-AC,20,"$33,940.00 ","$2,880.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.2,"8,904.00",No,No,No,43.129872,-77.5840252,POINT (-77.5840252 43.129872)
1/31/2026,0000543986,,,,Scottsville,Monroe,NY,14546,Chili,Town,36055014602,Inside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,12/23/2022,2/17/2023,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,Enphase Energy Inc.,IQ7PLUS-72-2-US [240V],26,Silfab Solar Inc.,SIL-370HC,26,"$38,941.00 ","$3,848.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,9.62,"8,409.00",,No,No,43.0744693,-77.7435876,POINT (-77.7435876 43.0744693)
1/31/2026,0000319788,,,,Rochester,Monroe,NY,14623,Henrietta,Town,36055013203,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,7/16/2021,1/25/2022,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,Hanwha Q CELLS,Q.PEAK DUO-G6+ 350,6,"$9,990.00 ",$735.00 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,2.1,"2,027.00",,No,No,43.057327,-77.5928456,POINT (-77.5928456 43.057327)
1/31/2026,0000216812,,,,Rochester,Monroe,NY,14609,Rochester,City,36055005400,Inside a NYS DAC,Inside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,11/21/2019,12/24/2019,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Canadian Solar Inc.,CS3K-325MS,23,"$25,595.00 ","$2,616.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.47,"8,991.00",,No,No,43.173527,-77.5680322,POINT (-77.5680322 43.173527)
1/31/2026,0000752890,,,,West Henrietta,Monroe,NY,14586,Henrietta,Town,36055013206,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,5/8/2024,12/19/2024,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,Enphase Energy Inc.,IQ8M-72-2-US [240V],57,Hanwha Q CELLS,Q.TRON BLK M-G2+ 425,57,"$100,180.00 ","$4,845.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,24.23,"23,929.00",,No,No,43.0335452,-77.6867472,POINT (-77.6867472 43.0335452)
1/31/2026,0000543527,,,,Hamlin,Monroe,NY,14464,Hamlin,Town,36055015102,Inside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,12/22/2022,4/25/2023,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SMA America,SB7.0-1TP-US-41 [240V],2,Hanwha Q CELLS,Q.PEAK DUO ML-G10+ 400,43,"$52,604.00 ","$6,216.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,17.2,"15,541.00",,No,No,43.3307284,-77.9527355,POINT (-77.9527355 43.3307284)
1/31/2026,0000342207,,,,Rochester,Monroe,NY,14609,Rochester,City,36055006000,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,9/24/2021,12/10/2021,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SMA America,SB3.0-1TP-US-41 [240V],1,Hanwha Q CELLS,Q.PEAK DUO-G6+ 350,10,"$19,674.00 ","$1,225.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,3.5,"3,205.00",,No,No,43.1638639,-77.5581577,POINT (-77.5581577 43.1638639)
1/31/2026,0000033268,4976-60304,,,Piffard,Livingston,NY,14533,York,Town,36051030201,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,3/9/2015,8/20/2015,Complete,Freedom Solar,No,SolarEdge Technologies,SE 7600A-US (208V),1,SolarWorld,SW 285 Mono,24,"$21,504.00 ","$4,704.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.84,"7,022.00",No,No,No,42.8633322,-77.8660672,POINT (-77.8660672 42.8633322)
1/31/2026,0000192166,,,,Brockport,Monroe,NY,14420,Sweden,Town,36055015304,Inside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,6/27/2019,10/1/2019,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,Hanwha Q CELLS,Q.PEAK DUO-G5 310,18,"$23,770.00 ","$1,953.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,5.58,"5,510.00",,No,No,43.2161824,-77.9306616,POINT (-77.9306616 43.2161824)
1/31/2026,0000587081,,,,Rochester,Monroe,NY,14606,Gates,Town,36055014203,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,5/6/2023,6/5/2023,Complete,3rd ROC Solar LLC,No,SolarEdge Technologies Ltd.,SE3800 [240V],1,"CSI Solar Co., Ltd.",CS3W-450MB-AG,12,"$20,845.00 ","$1,620.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,5.4,"6,080.00",,No,No,43.1719708,-77.7170304,POINT (-77.7170304 43.1719708)
1/31/2026,0000097077,,,,Penfield,Monroe,NY,14526,Penfield,Town,36055011601,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,9/28/2017,11/29/2017,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SolarEdge Technologies,SE3000 (240V),1,Hanwha Q CELLS,Q.PEAK G4.1 300,12,"$11,397.00 ","$1,440.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,3.6,"3,742.00",,No,No,43.1241416,-77.4568309,POINT (-77.4568309 43.1241416)
